"make_model","city_mpg","hwy_mpg","eng_type","torque","hp","cyl","displacement","drivetrain","transmission","weight"
Acura ILX 2.0L 4dr,24,35,Gas,140,150,4,2.0,FWD,Auto,2955
Acura ILX Hybrid 4d,39,38,Hybrid,127,111,4,1.5,FWD,Auto,2959
Buick Verano Convenience Group 4dr,21,32,Flexible Fuel,171,180,4,2.4,FWD,Auto,3300
Buick Verano Leather Group 4dr,21,32,Flexible Fuel,171,180,4,2.4,FWD,Auto,3300
Buick Verano Premium Group 4dr,21,30,Gas,260,250,4,2.0,FWD,Auto,3300
Chevrolet Cruze Diesel 4dr 1S,27,46,Diesel,258,148,4,2.0,FWD,Auto,3475
Chrysler 200 Limited 4dr,19,29,Gas,260,283,6,3.6,FWD,Auto,3575
Chrysler 200 Touring convertible,18,29,Gas,260,283,6,3.6,FWD,Auto,3898
Dodge Avenger R/T 4dr,19,29,Flexible Fuel,260,283,6,3.6,FWD,Auto,3607
Dodge Charger SE RWD 4dr,18,27,Gas,260,292,6,3.6,RWD,Auto,3961
FIAT 500 Abarth convertibl,28,34,Gas,170,160,4,1.4,FWD,Manual,2545
Ford Fusion SE Hybrid 4dr,47,47,Hybrid,129,141,4,2.0,FWD,Auto,3639
Ford Taurus SE 4dr,19,29,Gas,270,288,6,3.5,FWD,Auto,4054
Ford Taurus SEL 4dr,19,29,Gas,270,288,6,3.5,FWD,Auto,4054
Honda Accord EX 2dr,26,34,Gas,181,185,4,2.4,FWD,Auto,3298
Honda Accord EX 2d,24,34,Gas,181,185,4,2.4,FWD,Manual,3229
Honda Accord EX 4dr,27,36,Gas,181,185,4,2.4,FWD,Auto,3336
Honda Accord EX 4d,24,34,Gas,181,185,4,2.4,FWD,Manual,3267
Honda Accord EX-L 2dr,26,34,Gas,181,185,4,2.4,FWD,Auto,3320
Honda Accord EX-L 4dr,27,36,Gas,181,185,4,2.4,FWD,Auto,3358
Honda Accord Hybrid 4d,50,45,Hybrid,122,196,4,2.0,FWD,Auto,3550
Honda Accord LX-S 2dr,26,34,Gas,181,185,4,2.4,FWD,Auto,3252
Honda Accord Sport 4dr,26,34,Gas,182,196,4,2.4,FWD,Auto,3342
Honda Civic Hybrid 4dr,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Hybrid 4dr w/ Leather,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Hybrid 4dr w/ Leather & Navi,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Hybrid 4dr w/Navi,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Si 2dr w/ Navi & summer tire,22,31,Gas,170,201,4,2.4,FWD,Manual,3002
Honda Civic Si 4dr w/Nav,22,31,Gas,170,201,4,2.4,FWD,Manual,3002
Kia Optima SX 4dr,23,34,Gas,181,192,4,2.4,FWD,Auto,3327
Kia Optima SX Turbo 4dr,20,31,Gas,269,274,4,2.0,FWD,Auto,3622
Mazda3 i Grand Touring 4dr hatch,30,40,Gas,150,155,4,2.0,FWD,Auto,2873
Mazda3 s Grand Touring 4dr,28,39,Gas,185,184,4,2.5,FWD,Auto,2982
Mazda3 s Grand Touring 4dr hatch,27,37,Gas,185,184,4,2.5,FWD,Auto,3002
Mazda3 s Touring 4dr,28,39,Gas,185,184,4,2.5,FWD,Auto,2982
Mazda3 s Touring 4dr hatch,27,37,Gas,185,184,4,2.5,FWD,Auto,3002
Mazda6 i Touring 4dr,26,38,Gas,185,184,4,2.5,FWD,Auto,3232
Mini Cooper Clubman S 2dr hatch,26,35,Gas,177,181,4,1.6,FWD,Manual,2833
Mini Cooper Convertible,28,35,Gas,114,121,4,1.6,FWD,Manual,2701
Mini Cooper Convertible S,26,35,Gas,177,181,4,1.6,FWD,Manual,2811
Mini Cooper Countryman S 4dr hatc,26,32,Gas,177,181,4,1.6,FWD,Manual,3053
Mini Cooper Countryman S ALL4 AWD 4dr hatc,25,31,Gas,177,181,4,1.6,AWD,Manual,3208
Mini Cooper Coupe S 2d,26,35,Gas,177,181,4,1.6,FWD,Manual,2679
Mini Cooper Paceman S 2dr hatc,26,32,Gas,177,181,4,1.6,FWD,Manual,3070
Mini Cooper Paceman S ALL4 AWD 2dr hatc,25,31,Gas,177,181,4,1.6,AWD,Manual,3210
Mini Cooper Roadste,28,35,Gas,114,121,4,1.6,FWD,Manual,2635
Mini Cooper Roadster ,26,35,Gas,177,181,4,1.6,FWD,Manual,2745
Mitsubishi Lancer Ralliart AWD 4dr,18,25,Gas,253,237,4,2.0,AWD,Auto,3461
Nissan Altima 2.5 SL 4dr,27,38,Gas,180,182,4,2.5,FWD,Auto,3230
Nissan Altima 3.5 S 4dr,22,31,Gas,251,270,6,3.5,FWD,Auto,3363
Nissan Altima 3.5 SV 4dr,22,31,Gas,251,270,6,3.5,FWD,Auto,3394
Subaru Impreza WRX AWD 4d,19,25,Gas,244,265,4,2.5,AWD,Manual,3208
Subaru Impreza WRX AWD 4dr hatc,19,25,Gas,244,265,4,2.5,AWD,Manual,3208
Subaru Impreza WRX Premium AWD 4d,19,25,Gas,244,265,4,2.5,AWD,Manual,3241
Subaru Impreza WRX Premium AWD 4dr hatc,19,25,Gas,244,265,4,2.5,AWD,Manual,3241
Subaru Legacy 2.5i Limited 4dr,24,32,Gas,174,173,4,2.5,AWD,Auto,3424
Subaru Legacy 2.5i Limited 4dr (PZEV,24,32,Gas,174,173,4,2.5,AWD,Auto,3424
Subaru Legacy 2.5i Sport 4dr,24,32,Gas,174,173,4,2.5,AWD,Auto,3439
Subaru Legacy 2.5i Sport 4dr (PZEV,24,32,Gas,174,173,4,2.5,AWD,Auto,3439
Subaru Legacy 3.6R Limited 4dr,18,25,Gas,247,256,6,3.6,AWD,Auto,3545
Toyota Camry LE Hybrid 4dr,43,39,Hybrid,156,156,4,2.5,FWD,Auto,3435
Toyota Camry SE Sport 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3240
Toyota Camry V6 SE 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3420
Toyota Camry XLE 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3245
Toyota Camry XLE Hybrid 4dr,40,38,Hybrid,156,156,4,2.5,FWD,Auto,3525
Toyota Prius Four 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Toyota Prius Three 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Toyota Prius Two 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Volkswagen Beetle 2dr hatch w/Sun Roof Sound & Navigation,22,29,Gas,177,170,5,2.5,FWD,Auto,3036
Volkswagen Beetle 2dr hatch w/Sun Roof Sound & Navigatio,22,31,Gas,177,170,5,2.5,FWD,Manual,2987
Volkswagen Beetle convertible,21,27,Gas,177,170,5,2.5,FWD,Auto,3206
Volkswagen Beetle convertible w/Sound & Navigation,21,27,Gas,177,170,5,2.5,FWD,Auto,3206
Volkswagen Beetle convertible w/Technology,21,27,Gas,177,170,5,2.5,FWD,Auto,3206
Volkswagen Beetle R-Line 2dr hatch,24,30,Gas,207,210,4,2.0,FWD,Auto,3104
Volkswagen Beetle R-Line 2dr hatc,23,31,Gas,207,210,4,2.0,FWD,Manual,3056
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof & Sound,24,30,Gas,207,210,4,2.0,FWD,Auto,3104
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof & Soun,23,31,Gas,207,210,4,2.0,FWD,Manual,3056
Volkswagen Beetle R-Line convertibl,23,31,Gas,207,210,4,2.0,FWD,Manual,3238
Volkswagen Beetle TDI 2dr hatch,29,39,Diesel,236,140,4,2.0,FWD,Auto,3157
Volkswagen Beetle TDI 2dr hatc,28,41,Diesel,236,140,4,2.0,FWD,Manual,3115
Volkswagen Beetle TDI 2dr hatch w/Sun Roof Sound & Navigation,29,39,Diesel,236,140,4,2.0,FWD,Auto,3157
Volkswagen Beetle TDI 2dr hatch w/Sun Roof Sound & Navigatio,28,41,Diesel,236,140,4,2.0,FWD,Manual,3115
Volkswagen Beetle TDI convertibl,28,41,Diesel,236,140,4,2.0,FWD,Manual,3296
Volkswagen Golf TDI 4dr hatch,30,42,Diesel,236,140,4,2.0,FWD,Auto,3120
Volkswagen Golf TDI 4dr hatc,30,42,Diesel,236,140,4,2.0,FWD,Manual,3074
Volkswagen Golf TDI 4dr hatch w/Moon Roof & Navigatio,30,42,Diesel,236,140,4,2.0,FWD,Auto,3120
Volkswagen Golf TDI 4dr hatch w/Moon Roof & Navigatio,30,42,Diesel,236,140,4,2.0,FWD,Manual,3074
Volkswagen GTI Wolfsburg Edition 4dr hatch,24,32,Gas,207,200,4,2.0,FWD,Auto,3160
Volkswagen GTI Wolfsburg Edition 4dr hatch,21,31,Gas,207,200,4,2.0,FWD,Manual,3113
Volkswagen Jetta GLI 4dr,24,32,Gas,207,210,4,2.0,FWD,Auto,3169
Volkswagen Jetta GLI 4d,23,33,Gas,207,210,4,2.0,FWD,Manual,3131
Volkswagen Jetta GLI Autobahn 4dr,24,32,Gas,207,210,4,2.0,FWD,Auto,3169
Volkswagen Jetta GLI Autobahn 4d,23,33,Gas,207,210,4,2.0,FWD,Manual,3131
Volkswagen Jetta GLI Autobahn 4dr w/Navigatio,23,33,Gas,207,210,4,2.0,FWD,Manual,3131
Volkswagen Jetta Hybrid SE 4dr,42,48,Hybrid,184,150,4,1.4,FWD,Auto,3312
Volkswagen Jetta SEL 4dr,25,36,Gas,184,170,4,1.8,FWD,Auto,3074
Volkswagen Jetta TDI 4dr,30,42,Diesel,236,140,4,2.0,FWD,Auto,3210
Volkswagen Jetta TDI 4dr w/Premium Pk,30,42,Diesel,236,140,4,2.0,FWD,Auto,3210
Volkswagen Jetta TDI 4dr w/Premium Pk,30,42,Diesel,236,140,4,2.0,FWD,Manual,3162
Volkswagen Jetta TDI 4dr w/Premium Pkg & Navigatio,30,42,Diesel,236,140,4,2.0,FWD,Auto,3210
Volkswagen Jetta TDI 4dr w/Premium Pkg & Navigatio,30,42,Diesel,236,140,4,2.0,FWD,Manual,3162
Volkswagen Passat SE 4dr,22,31,Gas,177,170,5,2.5,FWD,Auto,3221
Volkswagen Passat SE 4dr w/Moon Roo,22,31,Gas,177,170,5,2.5,FWD,Auto,3221
Volkswagen Passat SE 4dr w/Moon Roof & Navigatio,22,31,Gas,177,170,5,2.5,FWD,Auto,3221
Volkswagen Passat TDI SE 4dr,31,43,Diesel,236,140,4,2.0,FWD,Manual,3393
Volkswagen Passat TDI SE 4dr w/Moon Roo,30,40,Diesel,236,140,4,2.0,FWD,Auto,3459
Acura ILX 2.0L 4dr w/Premium Pk,24,35,Gas,140,150,4,2.0,FWD,Auto,2959
Acura ILX 2.0L 4dr w/Technology Pk,24,35,Gas,140,150,4,2.0,FWD,Auto,2970
Acura ILX 2.4L 4dr w/Premium Pk,22,31,Gas,170,201,4,2.4,FWD,Manual,2978
Acura ILX Hybrid 4dr w/Technology Pk,39,38,Hybrid,127,111,4,1.5,FWD,Auto,2987
Acura TL 4dr,20,29,Gas,254,280,6,3.5,FWD,Auto,3726
Acura TL Special Edition 4dr,20,29,Gas,254,280,6,3.5,FWD,Auto,3726
Acura TSX 4dr,22,31,Gas,170,201,4,2.4,FWD,Auto,3479
Acura TSX 4dr w/Special Editio,22,31,Gas,170,201,4,2.4,FWD,Auto,3486
Acura TSX 4dr w/Special Editio,21,29,Gas,172,201,4,2.4,FWD,Manual,3415
Acura TSX 4dr w/Technology Pk,22,31,Gas,170,201,4,2.4,FWD,Auto,3490
Audi A4 Premium 4dr,24,32,Gas,258,211,4,2.0,FWD,Auto,3516
Audi A4 Premium Plus 4dr,24,32,Gas,258,211,4,2.0,FWD,Auto,3516
Audi A4 Premium Plus Quattro AWD 4d,22,32,Gas,258,211,4,2.0,AWD,Manual,3616
Audi A4 Premium Quattro AWD 4d,20,29,Gas,258,211,4,2.0,AWD,Auto,3692
Audi A4 Premium Quattro AWD 4d,22,32,Gas,258,211,4,2.0,AWD,Manual,3616
Audi A5 Premium Quattro AWD 2d,22,32,Gas,258,220,4,2.0,AWD,Manual,3583
BMW 228i RWD 2d,23,35,Gas,258,240,4,2.0,RWD,Auto,3300
BMW 320i RWD 4dr,24,36,Gas,200,180,4,2.0,RWD,Auto,3295
BMW 320i xDrive AWD 4dr,23,35,Gas,200,180,4,2.0,AWD,Auto,3450
BMW 328d RWD 4dr,32,45,Diesel,280,180,4,2.0,RWD,Auto,3460
BMW 328i RWD 4dr,23,35,Gas,255,240,4,2.0,RWD,Auto,3360
Buick LaCrosse 4dr,25,36,Gas,172,182,4,2.4,FWD,Auto,3765
Buick LaCrosse Leather 4dr,25,36,Gas,172,182,4,2.4,FWD,Auto,3765
Buick LaCrosse Leather AWD 4dr,17,26,Gas,264,304,6,3.6,AWD,Auto,3906
Buick LaCrosse Premium I 4dr,18,28,Gas,264,304,6,3.6,FWD,Auto,3906
Buick Regal 4dr,21,30,Gas,295,259,4,2.0,FWD,Auto,3692
Buick Regal AWD 4dr,19,27,Gas,295,259,4,2.0,AWD,Auto,3692
Buick Regal GS 4dr,21,30,Gas,295,259,4,2.0,FWD,Auto,3725
Buick Regal Premium I 4dr,21,30,Gas,295,259,4,2.4,FWD,Auto,3642
Buick Regal Premium I AWD 4dr,19,27,Gas,295,259,4,2.0,AWD,Auto,3702
Buick Regal Premium II 4dr,21,30,Gas,295,259,4,2.0,FWD,Auto,3722
Buick Regal Premium II AWD 4dr,19,27,Gas,295,259,4,2.0,AWD,Auto,3722
Cadillac ATS 2.0L Standard AWD 4dr,20,29,Gas,260,272,4,2.0,AWD,Auto,3542
Cadillac ATS 2.0L Standard RWD 4dr,21,31,Gas,260,272,4,2.0,RWD,Auto,3373
Cadillac ATS 2.5L Luxury RWD 4dr,22,33,Gas,190,202,4,2.5,RWD,Auto,3319
Cadillac ATS 2.5L Standard RWD 4dr,22,33,Gas,190,202,4,2.5,RWD,Auto,3319
Chevrolet Impala LT Eco 4d,25,35,Gas,172,182,4,2.4,FWD,Auto,3800
Chevrolet Impala LTZ 4dr w/1L,21,31,Gas,187,196,4,2.5,FWD,Auto,3800
Chevrolet Impala V6 LT 4dr w/2L,19,29,Flexible Fuel,264,305,6,3.6,FWD,Auto,3950
Chevrolet Impala V6 LTZ 4dr w/2LZ,19,29,Flexible Fuel,264,305,6,3.6,FWD,Auto,3950
Chevrolet Malibu LTZ 4dr w/2L,21,30,Gas,260,259,4,2.0,FWD,Auto,3499
Chevrolet Volt 4dr,35,40,Hybrid,273,149,4,1.4,FWD,Auto,3786
Chrysler 200 Limited convertible,19,29,Flexible Fuel,260,283,6,3.6,FWD,Auto,4000
Chrysler 200 S convertible,19,29,Flexible Fuel,260,283,6,3.6,FWD,Auto,4000
Chrysler 300 AWD 4dr,18,27,Gas,260,292,6,3.6,AWD,Auto,3999
Chrysler 300 RWD 4dr,19,31,Gas,260,292,6,3.6,RWD,Auto,3999
Chrysler 300C RWD 4dr,19,31,Gas,264,300,6,3.6,RWD,Auto,4326
Chrysler 300S AWD 4dr,18,27,Gas,264,300,6,3.6,AWD,Auto,4235
Chrysler 300S RWD 4dr,19,31,Gas,264,300,6,3.6,RWD,Auto,4029
Dodge Charger R/T AWD 4dr,15,23,Gas,395,370,8,5.7,AWD,Auto,4450
Dodge Charger R/T Max RWD 4dr,15,25,Gas,395,370,8,5.7,RWD,Auto,4253
Dodge Charger R/T Plus AWD 4dr,15,23,Gas,395,370,8,5.7,AWD,Auto,4450
Dodge Charger R/T Plus RWD 4dr,15,25,Gas,395,370,8,5.7,RWD,Auto,4253
Dodge Charger R/T RWD 4dr,15,25,Gas,395,370,8,5.7,RWD,Auto,4253
Dodge Charger SXT AWD 4dr,18,27,Gas,260,292,6,3.6,AWD,Auto,4151
Dodge Charger SXT Plus AWD 4dr,18,27,Gas,260,292,6,3.6,AWD,Auto,4151
Dodge Charger SXT Plus RWD 4dr,19,31,Gas,260,292,6,3.6,RWD,Auto,3996
Dodge Charger SXT RWD 4dr,19,31,Gas,260,292,6,3.6,RWD,Auto,3996
Ford Fusion Energi Plug-In Hybrid SE Luxury 4dr,44,41,Hybrid,129,141,4,2.0,FWD,Auto,3913
Ford Fusion Titanium 4dr,22,33,Gas,270,240,4,2.0,FWD,Auto,3427
Ford Fusion Titanium AWD 4dr,22,31,Gas,270,240,4,2.0,AWD,Auto,3427
Ford Fusion Titanium Hybrid 4dr,47,47,Hybrid,129,141,4,2.0,FWD,Auto,3639
Ford Taurus Limited 4dr,19,29,Gas,270,288,6,3.5,FWD,Auto,4054
Ford Taurus Limited AWD 4dr,18,26,Gas,254,288,6,3.5,AWD,Auto,4249
Ford Taurus SEL AWD 4dr,18,26,Gas,254,288,6,3.5,AWD,Auto,4249
Honda Accord EX-L V6 2d,18,28,Gas,252,278,6,3.5,FWD,Manual,3397
Honda Accord EX-L 2dr w/Navigatio,26,34,Gas,181,185,4,2.4,FWD,Auto,3322
Honda Accord EX-L V6 2dr w/Navigatio,18,28,Gas,252,278,6,3.5,FWD,Manual,3400
Honda Accord EX-L 4dr w/Navigatio,27,36,Gas,181,185,4,2.4,FWD,Auto,3365
Honda Accord Hybrid EX-L 4d,50,45,Hybrid,122,196,4,2.0,FWD,Auto,3595
Honda Accord Hybrid Touring 4d,50,45,Hybrid,122,196,4,2.0,FWD,Auto,3602
Honda Accord Touring 4dr,21,34,Gas,252,278,6,3.5,FWD,Auto,3559
Honda Accord V6 EX-L 2dr,21,32,Gas,252,278,6,3.5,FWD,Auto,3528
Honda Accord V6 EX-L 2dr w/Navigatio,21,32,Gas,252,278,6,3.5,FWD,Auto,3536
Honda Accord V6 EX-L 4dr,21,34,Gas,252,278,6,3.5,FWD,Auto,3554
Honda Accord V6 EX-L 4dr w/Navigatio,21,34,Gas,252,278,6,3.5,FWD,Auto,3559
Hyundai Genesis 3.8 4dr,18,27,Gas,291,333,6,3.8,RWD,Auto,4019
Infiniti Q50 AWD 4dr,19,27,Gas,269,328,6,3.7,AWD,Auto,3748
Infiniti Q50 RWD 4dr,20,29,Gas,269,328,6,3.7,RWD,Auto,3574
Kia Cadenza Premium 4dr,19,28,Gas,255,293,6,3.3,FWD,Auto,3688
Kia Optima SXL Turbo 4dr,20,31,Gas,269,274,4,2.0,FWD,Auto,3327
Lexus CT 200h 4dr hatc,43,40,Hybrid,105,134,4,1.8,FWD,Auto,3150
Lexus ES 350 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3549
Lexus IS 250 Sport AWD 4dr,20,27,Gas,185,204,6,2.5,AWD,Auto,3649
Lexus IS 250 Sport RWD 4dr,21,30,Gas,185,204,6,2.5,RWD,Auto,3461
Lincoln MKZ 4dr,22,33,Gas,277,300,6,3.7,FWD,Auto,3719
Lincoln MKZ AWD 4dr,22,31,Gas,277,300,6,3.7,AWD,Auto,3719
Lincoln MKZ Hybrid 4dr,45,45,Hybrid,129,188,4,2.0,FWD,Auto,3719
Mazda6 i Grand Touring 4dr,26,38,Gas,185,184,4,2.5,FWD,Auto,3232
Mercedes-Benz C250 Luxury RWD 4dr,22,31,Gas,229,201,4,1.8,RWD,Auto,3428
Mercedes-Benz C250 RWD 2dr,22,31,Gas,229,201,4,1.8,RWD,Auto,3428
Mercedes-Benz C250 Sport RWD 4dr,22,31,Gas,229,201,4,1.8,RWD,Auto,3428
Mercedes-Benz CLA250 4dr,26,38,Gas,258,208,4,2.0,FWD,Auto,3264
Mini Cooper Clubman John Cooper Works 2dr hatch,26,35,Gas,192,208,4,1.6,FWD,Manual,2844
Mini Cooper Convertible John Cooper Works,26,35,Gas,192,208,4,1.6,FWD,Manual,2822
Mini Cooper Countryman John Cooper Works ALL4 AWD 4dr hatc,25,31,Gas,207,208,4,1.6,AWD,Manual,3263
Mini Cooper Roadster John Cooper Work,26,35,Gas,192,208,4,1.6,FWD,Manual,2767
Mini Cooper Paceman John Cooper Works ALL4 AWD 2dr hatc,25,31,Gas,207,208,4,1.6,AWD,Manual,3260
Nissan Altima 3.5 SL 4dr,22,31,Gas,251,270,6,3.5,FWD,Auto,3422
Nissan Maxima S 4dr,19,26,Gas,261,290,6,3.5,FWD,Auto,3550
Nissan Maxima SV 4dr,19,26,Gas,261,290,6,3.5,FWD,Auto,3570
Subaru Impreza WRX Limited AWD 4d,19,25,Gas,244,265,4,2.5,AWD,Manual,3252
Subaru Impreza WRX Limited AWD 4dr hatc,19,25,Gas,244,265,4,2.5,AWD,Manual,3252
Toyota Avalon 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3461
Toyota Avalon Premium 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3461
Toyota Avalon Premium Hybrid 4dr,40,39,Hybrid,156,200,4,2.5,FWD,Auto,3594
Toyota Avalon Touring 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3505
Toyota Avalon Touring Hybrid 4dr,40,39,Hybrid,156,200,4,2.5,FWD,Auto,3594
Toyota Camry V6 XLE 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3395
Toyota Prius Five 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Toyota Prius Plug-in 4dr hatch (Limited Availability,51,49,Hybrid,105,98,4,1.8,FWD,Auto,3165
Toyota Prius Plug-in Advanced 4dr hatch (Limited Availability,51,49,Hybrid,105,98,4,1.8,FWD,Auto,3165
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof Sound & Navigation,24,30,Gas,207,210,4,2.0,FWD,Auto,3104
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof Sound & Navigatio,23,31,Gas,207,210,4,2.0,FWD,Manual,3056
Volkswagen Beetle R-Line convertible,23,29,Gas,207,210,4,2.0,FWD,Auto,3278
Volkswagen Beetle R-Line convertible w/Sound,23,29,Gas,207,210,4,2.0,FWD,Auto,3278
Volkswagen Beetle R-Line convertible w/Soun,23,31,Gas,207,210,4,2.0,FWD,Manual,3238
Volkswagen Beetle R-Line convertible w/Sound & Navigation,23,29,Gas,207,210,4,2.0,FWD,Auto,3278
Volkswagen Beetle R-Line convertible w/Sound & Navigatio,23,31,Gas,207,210,4,2.0,FWD,Manual,3238
Volkswagen Beetle TDI convertible,28,37,Diesel,236,140,4,2.0,FWD,Auto,3340
Volkswagen Beetle TDI convertible w/Sound & Navigation,28,37,Diesel,236,140,4,2.0,FWD,Auto,3340
Volkswagen Beetle TDI convertible w/Sound & Navigatio,28,41,Diesel,236,140,4,2.0,FWD,Manual,3296
Volkswagen CC Executive 4dr,22,31,Gas,207,200,4,2.0,FWD,Auto,3369
Volkswagen CC R-Line 4dr,22,31,Gas,207,200,4,2.0,FWD,Auto,3369
Volkswagen CC R-Line 4dr,21,32,Gas,207,200,4,2.0,FWD,Manual,3358
Volkswagen CC Sport 4dr,22,31,Gas,207,200,4,2.0,FWD,Auto,3369
Volkswagen CC Sport 4dr,21,32,Gas,207,200,4,2.0,FWD,Manual,3358
